start_time, end_time, hr, hr_max, hr_min, steps, calories, guessed_mvpa

2/25 5:0 , 2/25 5:5 , 27 , 27 , 27 , 0 , 1.0459008 , False

2/25 5:5 , 2/25 5:10 , 41 , 41 , 41 , 0 , 5.60304 , False

2/25 5:10 , 2/25 5:15 , 48 , 48 , 48 , 0 , 5.60304 , False

2/25 5:15 , 2/25 5:20 , 51 , 51 , 51 , 0 , 5.60304 , False

2/25 5:20 , 2/25 5:25 , 53 , 53 , 53 , 0 , 5.60304 , False

2/25 5:25 , 2/25 5:30 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 5:30 , 2/25 5:35 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 5:35 , 2/25 5:40 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 5:40 , 2/25 5:45 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 5:45 , 2/25 5:50 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 5:50 , 2/25 5:55 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 5:55 , 2/25 6:0 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 6:0 , 2/25 6:5 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 6:5 , 2/25 6:10 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 6:10 , 2/25 6:15 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 6:15 , 2/25 6:20 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 6:20 , 2/25 6:25 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 6:25 , 2/25 6:30 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 6:30 , 2/25 6:35 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 6:35 , 2/25 6:40 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 6:40 , 2/25 6:45 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 6:45 , 2/25 6:50 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 6:50 , 2/25 6:55 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 6:55 , 2/25 7:0 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 7:0 , 2/25 7:5 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 7:5 , 2/25 7:10 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 7:10 , 2/25 7:15 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 7:15 , 2/25 7:20 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 7:20 , 2/25 7:25 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 7:25 , 2/25 7:30 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 7:30 , 2/25 7:35 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 7:35 , 2/25 7:40 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 7:40 , 2/25 7:45 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 7:45 , 2/25 7:50 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 7:50 , 2/25 7:55 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 7:55 , 2/25 8:0 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 8:0 , 2/25 8:5 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 8:5 , 2/25 8:10 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 8:10 , 2/25 8:15 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 8:15 , 2/25 8:20 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 8:20 , 2/25 8:25 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 8:25 , 2/25 8:30 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 8:30 , 2/25 8:35 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 8:35 , 2/25 8:40 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 8:40 , 2/25 8:45 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 8:45 , 2/25 8:50 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 8:50 , 2/25 8:55 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 8:55 , 2/25 9:0 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 9:0 , 2/25 9:5 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 9:5 , 2/25 9:10 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 9:10 , 2/25 9:15 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 9:15 , 2/25 9:20 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 9:20 , 2/25 9:25 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 9:25 , 2/25 9:30 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 9:30 , 2/25 9:35 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 9:35 , 2/25 9:40 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 9:40 , 2/25 9:45 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 9:45 , 2/25 9:50 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 9:50 , 2/25 9:55 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 9:55 , 2/25 10:0 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 10:0 , 2/25 10:5 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 10:5 , 2/25 10:10 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 10:10 , 2/25 10:15 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 10:15 , 2/25 10:20 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 10:20 , 2/25 10:25 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 10:25 , 2/25 10:30 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 10:30 , 2/25 10:35 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 10:35 , 2/25 10:40 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 10:40 , 2/25 10:45 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 10:45 , 2/25 10:50 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 10:50 , 2/25 10:55 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 10:55 , 2/25 11:0 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 11:0 , 2/25 11:5 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 11:5 , 2/25 11:10 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 11:10 , 2/25 11:15 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 11:15 , 2/25 11:20 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 11:20 , 2/25 11:25 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 11:25 , 2/25 11:30 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 11:30 , 2/25 11:35 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 11:35 , 2/25 11:40 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 11:40 , 2/25 11:45 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 11:45 , 2/25 11:50 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 11:50 , 2/25 11:55 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 11:55 , 2/25 12:0 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 12:0 , 2/25 12:5 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 12:5 , 2/25 12:10 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 12:10 , 2/25 12:15 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 12:15 , 2/25 12:20 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 12:20 , 2/25 12:25 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 12:25 , 2/25 12:30 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 12:30 , 2/25 12:35 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 12:35 , 2/25 12:40 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 12:40 , 2/25 12:45 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 12:45 , 2/25 12:50 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 12:50 , 2/25 12:55 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 12:55 , 2/25 13:0 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 13:0 , 2/25 13:5 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 13:5 , 2/25 13:10 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 13:10 , 2/25 13:15 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 13:15 , 2/25 13:20 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 13:20 , 2/25 13:25 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 13:25 , 2/25 13:30 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 13:30 , 2/25 13:35 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 13:35 , 2/25 13:40 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 13:40 , 2/25 13:45 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 13:45 , 2/25 13:50 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 13:50 , 2/25 13:55 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 13:55 , 2/25 14:0 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 14:0 , 2/25 14:5 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 14:5 , 2/25 14:10 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 14:10 , 2/25 14:15 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 14:15 , 2/25 14:20 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 14:20 , 2/25 14:25 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 14:25 , 2/25 14:30 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 14:30 , 2/25 14:35 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 14:35 , 2/25 14:40 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 14:40 , 2/25 14:45 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 14:45 , 2/25 14:50 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 14:50 , 2/25 14:55 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 14:55 , 2/25 15:0 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 15:0 , 2/25 15:5 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 15:5 , 2/25 15:10 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 15:10 , 2/25 15:15 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 15:15 , 2/25 15:20 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 15:20 , 2/25 15:25 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 15:25 , 2/25 15:30 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 15:30 , 2/25 15:35 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 15:35 , 2/25 15:40 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 15:40 , 2/25 15:45 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 15:45 , 2/25 15:50 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 15:50 , 2/25 15:55 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 15:55 , 2/25 16:0 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 16:0 , 2/25 16:5 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 16:5 , 2/25 16:10 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 16:10 , 2/25 16:15 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 16:15 , 2/25 16:20 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 16:20 , 2/25 16:25 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 16:25 , 2/25 16:30 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 16:30 , 2/25 16:35 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 16:35 , 2/25 16:40 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 16:40 , 2/25 16:45 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 16:45 , 2/25 16:50 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 16:50 , 2/25 16:55 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 16:55 , 2/25 17:0 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 17:0 , 2/25 17:5 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 17:5 , 2/25 17:10 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 17:10 , 2/25 17:15 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 17:15 , 2/25 17:20 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 17:20 , 2/25 17:25 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 17:25 , 2/25 17:30 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 17:30 , 2/25 17:35 , 54 , 54 , 54 , 0 , 5.60304 , False

2/25 17:35 , 2/25 17:40 , 54 , 54 , 54 , 21.1165048544 , 6.87466186667 , False

2/25 17:40 , 2/25 17:45 , 71.5 , 84.0 , 59.0 , 54.1002251837 , 11.1436781333 , False

2/25 17:45 , 2/25 17:50 , 53.0 , 53.0 , 53.0 , 72.223269962 , 8.7692352 , False

