hr,max_hr,min_hr,steps,calories,mvpa,
54,54,54,0,6.0833302,0,FALSE
54,54,54,0,6.0833302,0,FALSE
54,54,54,0,6.0833302,0,FALSE
54,54,54,0,6.0833302,0,FALSE
54,54,54,0,6.0833302,0,FALSE
54,54,54,24.421642,3.0619428,0,FALSE
54,54,54,83.578362,6.0833302,0,FALSE
54,54,54,0,6.0833302,0,FALSE
54,54,54,0,6.0833302,0,FALSE
54,54,54,0,6.0833302,0,FALSE
54,54,54,0,6.0833302,0,FALSE
54,54,54,0,6.0833302,0,FALSE
54,54,54,0,6.0833302,0,FALSE
54,54,54,0,6.0833302,0,FALSE
54,54,54,0,6.0833302,0,FALSE
54,54,54,0,5.1327901,0,FALSE
54,54,54,0,5.14538,0,FALSE
54,54,54,0,6.0833302,0,FALSE
67,67,67,18.283783,4.399816,0,FALSE
61,61,61,60.840328,7.8066316,0,FALSE
58,58,58,140.27768,6.0833302,0,FALSE
56,56,56,446.86823,22.239805,0,FALSE
55,55,55,537.03998,23.116699,1,TRUE
55,55,55,547.02667,23.116699,0,FALSE
55,55,55,356.71335,19.792585,0,FALSE
94,99,89,130.77333,13.265043,0,FALSE
74,77,72,432.72333,27.961348,1,TRUE
64,66,63,691.52002,42.917217,1,TRUE
124.5,142,78,480.57666,31.623905,1,TRUE
70,70,70,401.89001,25.89958,0,FALSE
87.863297,114,52,507.31683,36.726948,1,TRUE
87.863297,84,54,253.09982,23.181139,1,TRUE
71.863297,69,55,1.05,4.2730412,0,FALSE
63.8633,62,55,0.56666666,4.5671349,0,FALSE
59.8633,58,55,0.43333334,4.593936,0,FALSE
73,73,73,0,4.2356257,0,FALSE
64,64,64,0,1.3307896,0,FALSE
59,59,59,0,3.2595649,0,FALSE
57,57,57,0,6.0785236,0,FALSE
71,71,71,30.054901,2.3540831,0,FALSE
63,63,63,17.945099,3.4718177,0,FALSE
64,64,61,0,6.0833302,0,FALSE
59,59,58,1,6.0835428,0,FALSE
57,57,56,0,3.9561348,0,FALSE
64,76,64,0,5.6186929,0,FALSE
59,65,59,2,5.6222196,0,FALSE
57,60,57,0,6.0833302,0,FALSE
56,57,56,0,6.0833302,0,FALSE
55,56,55,0,6.0833302,0,FALSE
55,55,55,0,6.0833302,0,FALSE
55,55,55,0,6.0833302,0,FALSE
55,55,55,0,6.0833302,0,FALSE
55,55,55,10.266666,5.4185376,0,FALSE
55,55,55,0.73333335,5.4273424,0,FALSE
55,55,55,0,6.0833302,0,FALSE
56,61,51,10.612904,5.3190598,0,FALSE
76,76,76,3.3870969,5.3190598,0,FALSE
49,49,49,1.6086956,5.3190598,0,FALSE
52,52,52,1.3913044,5.3190598,0,FALSE
49,49,49,0,5.3190598,0,FALSE
52,52,52,0.015384615,5.3190598,0,FALSE
54,54,54,1.9846153,5.3190598,0,FALSE
69,69,69,0,5.3190598,0,FALSE
73.5,75,72,2,5.3190598,0,FALSE
64.5,65,63,0.64999998,5.3190598,0,FALSE
59.5,60,59,0.34999999,5.3190598,0,FALSE
61,61,60,7.7142859,5.3190598,0,FALSE
58,58,57,21.179049,5.3190598,0,FALSE
