
start_time	end_time	hr	hr_max	hr_min	steps	calories
2/19 20:0	2/19 20:5	None	None	None	None	None
2/19 20:5	2/19 20:10	None	None	None	None	None
2/19 20:10	2/19 20:15	None	None	None	None	None
2/19 20:15	2/19 20:20	None	None	None	None	None
2/19 20:20	2/19 20:25	None	None	None	None	None
2/19 20:25	2/19 20:30	None	None	None	None	None
2/19 20:30	2/19 20:35	None	None	None	None	None
2/19 20:35	2/19 20:40	None	None	None	None	None
2/19 20:40	2/19 20:45	None	None	None	None	None
2/19 20:45	2/19 20:50	None	None	None	None	None
2/19 20:50	2/19 20:55	None	None	None	None	None
2/19 20:55	2/19 21:0	None	None	None	None	None
2/19 21:0	2/19 21:5	None	None	None	None	None
2/19 21:5	2/19 21:10	None	None	None	None	None
2/19 21:10	2/19 21:15	None	None	None	None	None
2/19 21:15	2/19 21:20	None	None	None	None	None
2/19 21:20	2/19 21:25	None	None	None	None	None
2/19 21:25	2/19 21:30	None	None	None	None	None
2/19 21:30	2/19 21:35	None	None	None	None	None
2/19 21:35	2/19 21:40	None	None	None	None	None
2/19 21:40	2/19 21:45	None	None	None	None	None
2/19 21:45	2/19 21:50	None	None	None	24.421641791	3.06194276667
2/19 21:50	2/19 21:55	None	None	None	83.578358209	6.08333
2/19 21:55	2/19 22:0	None	None	None	None	6.08333
2/19 22:0	2/19 22:5	None	None	None	None	6.08333
2/19 22:5	2/19 22:10	None	None	None	None	6.08333
2/19 22:10	2/19 22:15	None	None	None	None	6.08333
2/19 22:15	2/19 22:20	None	None	None	None	6.08333
2/19 22:20	2/19 22:25	None	None	None	None	6.08333
2/19 22:25	2/19 22:30	None	None	None	None	6.08333
2/19 22:30	2/19 22:35	None	None	None	None	6.08333
2/19 22:35	2/19 22:40	None	None	None	None	5.13279003333
2/19 22:40	2/19 22:45	None	None	None	None	5.14537996667
2/19 22:45	2/19 22:50	None	None	None	None	6.08333
2/19 22:50	2/19 22:55	67.0	None	67.0	18.2837837838	4.3998159
2/19 22:55	2/19 23:0	None	None	None	60.8403296914	7.80663133333
2/19 23:0	2/19 23:5	None	None	None	140.277672239	None
2/19 23:5	2/19 23:10	None	None	None	446.868214286	22.2398056667
2/19 23:10	2/19 23:15	None	None	None	537.04	23.1167
2/19 23:15	2/19 23:20	None	None	None	547.026666667	23.1167
2/19 23:20	2/19 23:25	None	None	None	356.713333333	19.792586
2/19 23:25	2/19 23:30	94.0	None	89.0	130.773333333	13.2650436667
2/19 23:30	2/19 23:35	None	None	None	432.723333333	27.961348
2/19 23:35	2/19 23:40	None	None	None	691.52	42.9172176667
2/19 23:40	2/19 23:45	124.5	None	78.0	480.576666667	31.6239046667
2/19 23:45	2/19 23:50	70.0	None	70.0	401.89	25.8995796667
2/19 23:50	2/19 23:55	87.8633	None	52.0	507.316840883	36.7269460256
2/19 23:55	2/20 0:0	87.8633	None	None	253.099825784	23.1811397909
2/20 0:0	2/20 0:5	None	None	None	1.05	4.27304105675
2/20 0:5	2/20 0:10	None	None	None	0.566666666667	4.56713462676
